date,state,fips,cases,deaths
2020-05-19,Tennessee,47,18301,301
2020-05-20,Tennessee,47,18534,309
2020-05-21,Tennessee,47,18970,313
2020-05-22,Tennessee,47,19364,315
2020-05-23,Tennessee,47,19765,325
2020-05-24,Tennessee,47,20116,332
2020-05-25,Tennessee,47,20533,334
2020-05-26,Tennessee,47,20960,339
2020-05-27,Tennessee,47,21360,353
2020-05-28,Tennessee,47,21763,352
2020-05-29,Tennessee,47,22199,356
2020-05-30,Tennessee,47,22676,360
2020-05-31,Tennessee,47,22832,360
2020-06-01,Tennessee,47,23242,361
2020-06-02,Tennessee,47,24498,378
2020-06-03,Tennessee,47,25024,386
2020-06-04,Tennessee,47,25374,401
2020-06-05,Tennessee,47,25799,405
2020-06-06,Tennessee,47,26359,413
2020-06-07,Tennessee,47,26811,414
2020-06-08,Tennessee,47,27217,417
2020-06-09,Tennessee,47,27865,430
2020-06-10,Tennessee,47,28379,436
2020-06-11,Tennessee,47,28766,441
2020-06-12,Tennessee,47,29218,461
2020-06-13,Tennessee,47,29616,465
2020-06-14,Tennessee,47,30174,467
2020-06-15,Tennessee,47,30945,477
2020-06-16,Tennessee,47,31623,487
2020-06-17,Tennessee,47,32112,493
2020-06-18,Tennessee,47,32604,504
2020-06-19,Tennessee,47,33603,508
2020-06-20,Tennessee,47,34223,516
2020-06-21,Tennessee,47,34719,519
2020-06-22,Tennessee,47,35255,525
2020-06-23,Tennessee,47,36018,535
2020-06-24,Tennessee,47,36822,548
2020-06-25,Tennessee,47,37695,558
2020-06-26,Tennessee,47,38802,569
2020-06-27,Tennessee,47,39813,577
2020-06-28,Tennessee,47,39945,577
2020-06-29,Tennessee,47,41388,585
2020-06-30,Tennessee,47,42815,597
2020-07-01,Tennessee,47,44360,602
2020-07-02,Tennessee,47,46176,612
2020-07-03,Tennessee,47,47882,626
2020-07-04,Tennessee,47,49232,630
2020-07-05,Tennessee,47,50365,639
2020-07-06,Tennessee,47,51509,646
2020-07-07,Tennessee,47,52643,657
2020-07-08,Tennessee,47,54756,678
2020-07-09,Tennessee,47,56531,700
2020-07-10,Tennessee,47,58224,713
2020-07-11,Tennessee,47,59981,728
2020-07-12,Tennessee,47,61106,731
2020-07-13,Tennessee,47,63615,738
2020-07-14,Tennessee,47,65412,757
2020-07-15,Tennessee,47,67515,773
2020-07-16,Tennessee,47,69827,786
2020-07-17,Tennessee,47,72072,805
2020-07-18,Tennessee,47,74518,828
2020-07-19,Tennessee,47,76180,834
2020-07-20,Tennessee,47,77944,838
2020-07-21,Tennessee,47,80026,863
2020-07-22,Tennessee,47,82172,878
2020-07-23,Tennessee,47,84652,913
2020-07-24,Tennessee,47,86667,926
2020-07-25,Tennessee,47,88459,953
2020-07-26,Tennessee,47,91330,955
2020-07-27,Tennessee,47,93869,965
2020-07-28,Tennessee,47,96318,988
2020-07-29,Tennessee,47,98145,1008
2020-07-30,Tennessee,47,100166,1022
2020-07-31,Tennessee,47,103144,1047
2020-08-01,Tennessee,47,105455,1056
2020-08-02,Tennessee,47,106804,1062
2020-08-03,Tennessee,47,107900,1078
2020-08-04,Tennessee,47,109652,1103
2020-08-05,Tennessee,47,111305,1130
2020-08-06,Tennessee,47,113519,1170
2020-08-07,Tennessee,47,115940,1190
2020-08-08,Tennessee,47,117725,1201
2020-08-09,Tennessee,47,119788,1209
2020-08-10,Tennessee,47,120967,1223
2020-08-11,Tennessee,47,122003,1259
2020-08-12,Tennessee,47,123489,1274
2020-08-13,Tennessee,47,125487,1300
2020-08-14,Tennessee,47,127465,1312
2020-08-15,Tennessee,47,128771,1331
2020-08-16,Tennessee,47,130620,1349
2020-08-17,Tennessee,47,131742,1370
2020-08-18,Tennessee,47,132796,1410
2020-08-19,Tennessee,47,134810,1437
2020-08-20,Tennessee,47,136260,1470
2020-08-21,Tennessee,47,137932,1528
2020-08-22,Tennessee,47,139366,1542
2020-08-23,Tennessee,47,141000,1547
2020-08-24,Tennessee,47,141675,1578
2020-08-25,Tennessee,47,142501,1605
2020-08-26,Tennessee,47,144400,1623
2020-08-27,Tennessee,47,146183,1650
2020-08-28,Tennessee,47,147814,1675
2020-08-29,Tennessee,47,149310,1700
2020-08-30,Tennessee,47,150249,1722
2020-08-31,Tennessee,47,152033,1727
2020-09-01,Tennessee,47,153274,1753
2020-09-02,Tennessee,47,154833,1768
2020-09-03,Tennessee,47,157028,1791
2020-09-04,Tennessee,47,158120,1813
2020-09-05,Tennessee,47,159893,1838
2020-09-06,Tennessee,47,161589,1841
2020-09-07,Tennessee,47,162531,1845
2020-09-08,Tennessee,47,163180,1873
2020-09-09,Tennessee,47,164032,1908
2020-09-10,Tennessee,47,165911,1963
2020-09-11,Tennessee,47,167263,1999
2020-09-12,Tennessee,47,168552,2040
2020-09-13,Tennessee,47,169310,2055
2020-09-14,Tennessee,47,171498,2073
2020-09-15,Tennessee,47,172692,2102
2020-09-16,Tennessee,47,174400,2127
2020-09-17,Tennessee,47,175702,2141
2020-09-18,Tennessee,47,177707,2173
2020-09-19,Tennessee,47,179017,2193
2020-09-20,Tennessee,47,180621,2195
2020-09-21,Tennessee,47,181725,2209
2020-09-22,Tennessee,47,182546,2236
2020-09-23,Tennessee,47,184068,2252
2020-09-24,Tennessee,47,185121,2287
2020-09-25,Tennessee,47,186769,2326
2020-09-26,Tennessee,47,188205,2347
2020-09-27,Tennessee,47,190037,2350
2020-09-28,Tennessee,47,190991,2362
2020-09-29,Tennessee,47,191859,2393
2020-09-30,Tennessee,47,193357,2429
2020-10-01,Tennessee,47,194601,2473
2020-10-02,Tennessee,47,195680,2489
2020-10-03,Tennessee,47,196870,2534
2020-10-04,Tennessee,47,198262,2550
2020-10-05,Tennessee,47,200603,2570
2020-10-06,Tennessee,47,202257,2594
2020-10-07,Tennessee,47,204286,2615
2020-10-08,Tennessee,47,206265,2676
2020-10-09,Tennessee,47,207823,2702
2020-10-10,Tennessee,47,209593,2729
2020-10-11,Tennessee,47,211426,2738
2020-10-12,Tennessee,47,214245,2745
2020-10-13,Tennessee,47,215423,2768
2020-10-14,Tennessee,47,217140,2801
2020-10-15,Tennessee,47,219355,2836
2020-10-16,Tennessee,47,220099,2847
2020-10-17,Tennessee,47,222608,2875
2020-10-18,Tennessee,47,225126,2884
2020-10-19,Tennessee,47,228267,2896
2020-10-20,Tennessee,47,229794,2924
2020-10-21,Tennessee,47,232100,2946
2020-10-22,Tennessee,47,234079,2983
2020-10-23,Tennessee,47,237607,3043
2020-10-24,Tennessee,47,240191,3067
2020-10-25,Tennessee,47,243508,3105
2020-10-26,Tennessee,47,245760,3132
2020-10-27,Tennessee,47,247688,3176
2020-10-28,Tennessee,47,250269,3209
2020-10-29,Tennessee,47,252727,3229
2020-10-30,Tennessee,47,255332,3307
2020-10-31,Tennessee,47,256923,3322
2020-11-01,Tennessee,47,257658,3322
2020-11-02,Tennessee,47,260275,3347
2020-11-03,Tennessee,47,262053,3419
2020-11-04,Tennessee,47,265407,3446
2020-11-05,Tennessee,47,267557,3474
2020-11-06,Tennessee,47,269292,3508
2020-11-07,Tennessee,47,273603,3556
2020-11-08,Tennessee,47,277073,3561
2020-11-09,Tennessee,47,282746,3577
2020-11-10,Tennessee,47,284725,3639
2020-11-11,Tennessee,47,288311,3727
2020-11-12,Tennessee,47,291482,3751
2020-11-13,Tennessee,47,295135,3814
2020-11-14,Tennessee,47,299597,3839
2020-11-15,Tennessee,47,305211,3856
2020-11-16,Tennessee,47,312710,3884
2020-11-17,Tennessee,47,314553,3953
2020-11-18,Tennessee,47,319021,4005
2020-11-19,Tennessee,47,321832,4082
2020-11-20,Tennessee,47,325282,4156
2020-11-21,Tennessee,47,329490,4163
2020-11-22,Tennessee,47,333853,4218
2020-11-23,Tennessee,47,337637,4254
2020-11-24,Tennessee,47,339059,4325
2020-11-25,Tennessee,47,341456,4415
2020-11-26,Tennessee,47,345371,4468
2020-11-27,Tennessee,47,349506,4475
2020-11-28,Tennessee,47,355885,4489
